,Unnamed: 0,Date,sentiment,Tweet
0,0,2022-12-30 ,Neutral,"Two #insiders of @Airbnb continue to #sell off the stock after seeing a significant decline in #stockprice YTD.

From Dec 13 - Dec 27, Aristotle Balogh (CTO) &amp; Joe Gebbia Jr. (Co-Found/Chair) sold over $46.88M worth of $ABNB #shares.

This #selling will raise further FUD signals."
1,1,2022-12-29 ,Positive,"Insider #Buying @BriaCell

Issuer: BRIACELL THERAPEUTICS CORP
Name of the #Insider: Jamieson Bondarenko (CB)
Date: Dec 28
#Shares: 28,000
Value: $127,982

After a steep decline in its #stockprice YTD, #investors are hopeful that this purchase will restore their confidence.

$BCTX"
2,2,2022-12-27 ,Positive,#NNOX #StockPrice IS SET TO PLUMET  ! #Sell your Shares now! #SellToday ! It’s set to go DOWN! Trust me! If you own any #NanoX #NNOX… SELL TODAY BEFOFE YOU LOSE IT ALL! #SELLNANOX #today #Trades
3,3,2022-12-24 ,Positive,"Just made a bold prediction about Tesla's stock price: it's either going to the moon or back to earth. Either way, I'm investing in a space suit just to be safe. #Tesla #StockPrice #SpaceSuit"
4,4,2022-12-22 ,Positive,"Buyback news at three companies, #stockprice hiked right after.

- INDEPENDENT BANK
Announced a #buyback plan of up to $IBCP  1.1M shares.

- GREAT SOUTHERN BANCORP
Buyback of up to 1M $GSBC #shares.

- DIGITALIFT
Buy back up to 150,000 $TYO: 9244 shares.

#invest #stockprice"
5,5,2022-12-21 ,Negative,"#MDGL #Skyrockets in it’s #StockPrice after #Fibrosis treatment results !!! If you haven’t yet, DONT MISS THE CHANCE TO BUY IN !!! #Buy #ShareHolders #Holdings #Contract #OptionTrading #Trading #StockMarket"
6,6,2022-12-20 ,Negative,"$TSLA Board cannot be happy with the Elon shenanigans right now. 
#StockPrice #value #Tesla #TSLA"
7,7,2022-12-19 ,Positive,"Foreign portfolio investors have been approved for the allocation of 1.05 crore shares of Tilaknagar Industries at a price of Rs 95 per share
#portfoliomanagement #stockandshares #stockprice"
8,8,2022-12-16 ,Positive,"Buyback at PATRICK INDUSTRIES INC

Announcement Date: Dec 12

@ImpactPatrick recently increased its share #buyback to $100 million.

Investors seem to be optimistic about the program, as #stockprice rose significantly after the program was announced.

$PATK"
9,9,2022-12-15 ,Positive,"Kamat Hotels to issue 58.96 lakh warrants,each convertible into equity share within the period of 18 months at a price of Rs. 97 summing up to Rs 57.19 crore.
#KamatHotal #equitymarket #stockprice"
10,10,2022-12-09 ,Positive,"Buyback at TRITON INTL LTD

On Dec 8, board members announced an expansion of share repurchase authorization to $400 million.

On the day of announcement, #stockprice spiked from $66.58 to $67.40.

$TRTN #stockmarket"
11,11,2022-12-07 ,Neutral,Theory of #Reflexivity — #stockprice can #influence #businessvalue 🧵:
12,12,2022-12-05 ,Positive,"Buyback @RaymondJames 🇺🇸

On Dec 1, Board members approved a #buyback in an aggregate amount of up to $1.5 billion of $RJF #shares.

Post announcement, #stockprice spiked up:
Opening Price on Dec 1: $116.90
Closing Price on Dec 2: $119.16

#Investing #StockMarket"
13,13,2022-11-22 ,Negative,"The stock price of crypto exchange @coinbase hit a new all-time low of $40.61. @brian_armstrong Why do you sell? 
#coinbase #brianamstrong #crypto #exchange #stockprice"
14,14,2022-11-22 ,Negative,#StockPrice action should never come into play when you decide to sell a stock.
15,15,2022-11-17 ,Neutral,"#Form144 filed @Etsy

Jill Simeone (CLO/Secretary), Rachel Glaser (CFO), &amp; Raina Moskowitz (COO) plan to sell $ETSY

Shares: 81k
Value: $9.4M
Broker: UBS FINANCIAL SVCS INC

Form144 was filed on Nov 11 &amp; 15 as #stockprice has been sliding down by 57.59% over the past year

#stock"
16,16,2022-11-08 ,Positive,"Japanese materials firm ""JCU CORP"" recently announced #stock repurchase program

On Nov 7, board members approved #buyback of up to 450,000 #shares at a value of 1B JPY

#Stockprice spiked up:
Opening Price on Nov 8: 3,080 JPY
Closing Price on Nov 8: 3,175 JPY

$4975:JP"
17,17,2022-11-04 ,Positive,"After disclosing positive results in Q3, @conocophillips approved increase in its repurchase program

On Nov 3, $COP announced additional $20B share #buyback, which makes grand total of 45B to be repurchased in future

Post announcement, #stockprice rose from $129.62 to $133.82"
18,18,2022-11-03 ,Positive,"As SICHUAN XINJINLU GRP CO LTD's #stockprice rises, $000510:CH's top exec reported a #buy on Nov 1

Finance Dir - Yang Wenyi bought 172,700 #shares, investing a total of $137,716

Price up by 9.56% in last 6 months, &amp; this buying will be a further positive indicator for investors"
19,19,2022-11-03 ,Positive,"Amidst a downward trend in #stockprice YTD, #insidertrading reported at OPTIPHARM CO LTD from Oct 17-Nov 2

Kim Hyun ll (Co-CEO) purchased 36,221 #shares of $153710:KS, worth over $201k

This #insiderbuying indicates Co-CEO is optimistic about the future stock price

#stock"
20,20,2022-11-02 ,Negative,"#FED Tries to Stop #Inflation By Going After #ServiceSector Jobs, Not #WallStreet #StockPrice &amp; Asset #Inflation which Are the Real Problem😟#msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #MAGARepublicans #ecb #eu #powell"
21,21,2022-11-01 ,Neutral,"How many other #NationStates are going to designate ☣️ @Official_Zuck's poorly lead @Meta ☣️ as a #Terrorist #MultinationalConglomerate this year I wonder. ☣️

Probably all the #genocide &amp; #Counterintelligence 🐂💩 #DumbFSCKs messing up your #StockPrice!

#DumbFSCKs set you up 😂"
22,22,2022-10-28 ,Positive,"#MullenAutomotive #ElectricVehicle 
A Electric vehicle manufacturer company and the #stockprice is under $1 dollar . When it's at $5 everyone will wish they had bought . Mullen Automotive: $MULN"
23,23,2022-10-27 ,Positive,"With SETOPIA CO LTD #stockprice on the rise over last five days by 19.32%, #insider gives off further confidence signals

Seo Sang Chul (CEO) continues to load up #stock of $222810:KS on Oct 26

#Shares: 200,000
Value: 205k

#bullish #investing #marketanalysis #smartmoney"
24,24,2022-10-25 ,Positive,"Recently, we found two companies that announced #buybacks on Oct 24

🇯🇵@PLANT_co_jp authorized buyback of 250k $7646:JP #shares worth over 175M JPY

🇰🇷HANMI SEMICONDUCTOR CO LTD also approved 30 billion KRW buyback program

After both announcements, #stockprice showed BULL trend"
25,25,2022-10-24 ,Positive,"Founder, CEO &amp; Chair at Grenergy Renovables, David Ruiz De Andres, is on a #stock purchase spree

It's not often that we see #insiderpurchase at @Grenergy_eu &amp; now buys valued at total of $5.7 million over last week are hinting that we might see #stockprice gains in days to come"
26,26,2022-10-18 ,Positive,"Two 🇯🇵 companies announced #buyback on Oct 17

- @Recruit_PR's authorized $6098:JP #stock repurchase program of 150B yen

- FUNDELY CO LTD also announced to buyback up to 50,000 $3137:JP #shares worth 25M yen

After both announcements, #stockprice showed significant upward trend"
27,27,2022-10-17 ,Positive,"DATAMETREX AI LTD #stockprice on rising over the last five days, #insider gives off further confidence signals

CEO/MB - Jerry Marshall Gunter bought 1,224,000 #shares of $DM worth over $72k

@datametrex #insiderbuying #stockmarket"
28,28,2022-10-12 ,Neutral,"Co-Founder/Chairman/CEO @Dropbox  intends to load off 696,675 #shares of $DBX

Name: Andrew Houston
Value: $14.22M
Broker: MORGAN STANLEY SMITH BARNEY LLC

#Form144 was filed on Oct 10, as the #stockprice continues its downward trend for the last year

#sell"
29,29,2022-10-11 ,Positive,"As VICTORIAN PLUMBING GROUP PLC's #stockprice rises, $VIC's top exec reports #buy on Oct 06

Founder &amp; CEO - Mark Andrew Radcliffe, purchased 1,000,000 #shares, investing a total of $447k

This #insiderbuying will be a positive indicator for #investors

#bullish"
30,30,2022-10-11 ,Positive,"The share price of FEAM has significantly dropped during the past year. But things have changed recently, as seen by the stock's 26% increase. The market capitalization as a result is $729 million.
#FEAm #shareprice #StockMarket #stockprice #boron #market #mining"
31,31,2022-10-07 ,Positive,"IMPERIAL BRANDS PLC announced #buyback on Oct 6 that it will repurchase £1 billion worth of #stock

$IMB recently hailed recovery of global travel markets &amp; revealed a boost from battered pound

After the announcement, @ImperialBrands #stockprice showed a significant upward trend"
32,32,2022-10-07 ,Positive,"FEAM's stock price has decreased 14% over the past year, but it has surged by almost 26% during the past month. Company now has a market capitalization of around $729 million based on its share price.
#FEAM #stockprice #market #shareprice #capitalization #boron"
33,33,2022-10-07 ,Positive,"#Form144 filed @elfcosmetics on Oct 5

Chairman, President, &amp; CEO - Tarang Amin intends to sell 175,478 #shares, valued at $6.84 M

Broker: MORGAN STANLEY SMITH BARNEY LLC

Even if $ELF's sales and #stockprice increased, #insider continued to file form144, sending bearish signals"
34,34,2022-10-06 ,Positive,"#Insider of JUDGES SCIENTIFIC PLC loaded off #stock on Oct 4

Chairman of the Board - Alex Hambro, sold 1,500 #shares worth over $124k and decreased his holdings by 2.45%

#Stockprice of $JDG is down by 24.26% YTD

#sell #bearish #smartmoney"
35,35,2022-10-05 ,Positive,"#Insider @bostonsci filed #Form144 through E-TRADE FINANCIAL CORPORATION

On Oct 03, Michael F Mahoney (Chairman/President/CEO) plans to sell a total of 125,827 #shares, worth $5.02 M

$BSX's #stockprice took a dive of 7.49% in the past 6 months

#Insiderselling #trade"
36,36,2022-09-28 ,Positive,"BEAUTY HEALTH CO authorized a share repurchase program of up to $200 million of comp's #stock on Sep 27

After the announcement, $SKIN's #stockprice showed a significant upward trend

The comp. currently stands on $11.82 in after-hour market

#buyback"
37,37,2022-09-26 ,Positive,"Hong Kong Retailing firm ""GOLDLION HLDGS LTD"" disclosed on Sept 21st to #buyback up to HK$10 million worth of #shares

After the announcement, $533:HK #stockprice showed a significant upward trend

#smartmoney #stockmarket #marketnalaysis"
38,38,2022-09-26 ,Positive,"Michael A. Mussallem, Chairman of the Board/CEO of @EdwardsLifesci, disclosed his intention to load off comp's #stock on Sept 22

#Shares: 79,500
Value: $6.69 M
Broker: GOLDMAN SACHS &amp; CO LLC

In the last six months, $EW's #stockprice dived by 25.75%

#Form144 #smartmoney"
39,39,2022-09-23 ,Positive,"On Sept 21, George Kurtz, Co-Founder/President/CEO of CROWDSTRIKE HOLDINGS INC, disclosed his intention to load off $CRWD #stock

#Shares: 72,566
Value: $12.28M
Broker: FIDELITY BROKERAGE SERVICES LLC

In the last six months, @CrowdStrike's #stockprice dived by 26.52%

#Form144"
40,40,2022-09-23 ,Positive,"The short interest in FEAM is unusually high, indicating that a huge number of traders are betting against the company. As the share price rises, this might lead to a short squeeze in the near future.
#shortsqueeze #short #StockMarket #stockprice #FEAM #boron #lithium #mining"
41,41,2022-09-23 ,Positive,"FEAM mines boron, an essential element for the creation of electricity, decarbonization, and food. The company's stock price has increased from A$3.40 to A$4.94 per share as a result of their updated estimates for the price of boric acid. #FEAM #stockprice #boricacid #boron"
42,42,2022-09-21 ,Positive,"EMPIRE CO LTD's President/CEO - Michael Bennett Medline and EVP/COO - Pierre Saint-Laurent - stocked up on Sept 19

#Shares: 11,087
Value: $299k

In the last 6 months, $EMP/A's #stockprice declined by 16.32%, but #insiders seem optimistic about recovery

#stocks #stockmarket"
43,43,2022-09-19 ,Positive,"Two #insiders of Health Care Equipment &amp; Services firm ""NUTEX HEALTH INC"" loaded off #stock from Sept 01 - 15

President/Dir. - Warren Hosseinion &amp; CFO - Mike Bowen @nutexhealth, sold 810,000 #shares worth $2.14 million

The #stockprice of $NUTX declined by 58.59% YTD

#sell"
